School,Type,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Wins,Losses,Record,PF,PA,Differential,Latitude,Longitude,Capacity,AvgTemp,TotalRevenue,TicketSales,Contributions,Rights/Licensing,StudentFees,SchoolFunds,OtherIncome,GSR,FGR
Stanford,P5,Pac-12,David Shaw,4613707,4613707,0,0,0,0,4,8,0.333,260,358,-98,37.4252,-122.1674,50424,70.2,0,0,0,0,,,,91,88
Syracuse,P5,ACC,Dino Babers,2268825,2268825,0,0,0,0,5,7,0.417,339,368,-29,43.0409,-76.1438,49250,59.8,0,0,0,0,,,,85,74
Temple,G5,AAC,Rod Carey,1800000,0,0,0,0,0,8,5,0.615,342,337,5,40.0076,-75.134,68532,66.2,0,0,0,0,,,,88,72
Tennessee,P5,SEC,Jeremy Pruitt,3846000,3846000,1200000,50000,6985000,9500000,8,5,0.615,314,282,32,35.969,-83.9498,102455,69.8,143545115,36159453,33528934,67085013,1000000,0,5992503,74,55
Texas,P5,Big 12,Tom Herman,6750000,6750000,725000,220000,5955699,20416667,8,5,0.615,458,357,101,30.3038,-97.7545,100119,80.8,219402579,67081013,51197476,94443977,0,0,11157315,76,62
Texas A&M,P5,SEC,Jimbo Fisher,7500000,7500000,1500000,250000,7145215,60625000,8,5,0.615,384,293,91,30.5857,-96.296,102733,80.2,212399426,49260006,85421679,67432067,0,0,10634250,73,61
Texas Christian,P5,Big 12,Gary Patterson,4900776,4900776,0,0,975437,0,5,7,0.417,364,317,47,32.7813,-97.3466,45000,77.8,0,0,0,0,,,,67,52
Texas State,G5,Sun Belt,Jake Spavital,800000,800000,79167,0,1306725,1596667,3,9,0.25,221,391,-170,29.8766,-97.9311,30000,80.6,37267758,822979,2200675,3658892,18929727,7980450,4241618,71,62
Texas Tech,P5,Big 12,Matt Wells,2800000,2808300,1000000,20000,3331333,11363333,4,8,0.333,366,364,2,33.5665,-101.8867,60862,73.8,89259783,14269267,24187872,51912737,3472573,45099,2737799,74,61
Texas-El Paso,G5,C-USA,Dana Dimel,711999,711999,748102,0,1387560,2254664,1,11,0.083,235,431,-196,31.8478,-106.431,51500,83.8,32855303,1610612,2824632,5536559,8503895,12293232,2712724,85,67
Texas-San Antonio,G5,C-USA,Frank Wilson,1125000,1125000,185000,0,1310200,2493750,4,8,0.333,244,407,-163,29.4722,-98.5247,65000,80.4,30368193,2337825,3345587,5719381,13369717,7242499,1642730,81,59
Toledo,G5,MAC,Jason Candle,1150000,1150000,585000,80000,1054812,2858333,6,6,0.5,327,386,-59,41.6639,-83.582,26248,62.8,33776969,2489312,4517735,5130292,10528721,11357436,1537059,83,70
Troy,G5,Sun Belt,Neal Brown,3055000,3055000,1000000,0,3290000,16254167,5,7,0.417,406,417,-11,31.8021,-85.9665,30402,76.2,30326255,916494,1333194,2588347,1116294,25479516,900894,74,55
Tulane,G5,AAC,Willie Fritz,1612000,1612000,0,0,0,0,7,6,0.538,444,366,78,30.0687,-89.9288,30000,78.8,0,0,0,0,,,,89,73
Tulsa,G5,AAC,Philip Montgomery,1689395,1689395,0,0,0,0,4,8,0.333,303,352,-49,36.1284,-95.9037,30000,72,0,0,0,0,,,,78,72
UCLA,P5,Pac-12,Chip Kelly,3500000,3500000,1085000,45000,4230800,9000000,4,8,0.333,320,417,-97,34.1598,-118.1389,90888,80.6,130960560,18934619,18082638,60164305,2517213,60000,8654192,86,70
